Transaction_ID,Timestamp,Product_ID,Quantity_Sold,Unit_Price,Discount_Applied,Payment_Method,Store_ID
1,2025-09-12 07:23:47,212,5,11.22,17.5,Debit Card,STR-005
2,2025-09-13 00:43:57,55,3,1.66,25.4,Credit Card,STR-033
3,2025-09-13 06:59:32,116,2,7.15,0,Debit Card,STR-039
4,2025-09-13 18:44:19,145,15,3.61,12.1,Debit Card,STR-046
5,2025-09-14 12:19:19,38,5,10.05,8.1,Cash,STR-025
6,2025-09-14 13:34:03,132,5,7,32.9,Debit Card,STR-013
7,2025-09-14 15:25:33,127,5,5.31,0,Credit Card,STR-042
8,2025-09-14 19:44:50,47,5,2.21,26.6,Cash,STR-015
9,2025-09-14 20:23:06,108,4,3.88,0,Cash,STR-011
10,2025-09-15 11:06:31,129,5,3.27,36.5,Credit Card,STR-018
11,2025-09-16 15:02:56,14,8,4.21,0,Cash,STR-021
12,2025-09-16 19:54:32,52,3,2.89,25.6,Cash,STR-003
13,2025-09-16 23:13:43,143,9,1.32,26.7,Gift Card,STR-041
14,2025-09-17 03:20:19,104,5,3.47,0,Debit Card,STR-005
15,2025-09-17 06:53:36,126,2,4.2,0,Debit Card,STR-008
16,2025-09-17 08:07:26,210,4,7.74,0,Debit Card,STR-026
17,2025-09-17 12:57:32,91,3,5.57,36.1,Credit Card,STR-038
18,2025-09-17 13:25:48,206,12,13.69,0,Debit Card,STR-027
19,2025-09-17 15:52:51,122,3,2.57,14.5,Credit Card,STR-035
20,2025-09-18 06:47:59,18,4,2.18,40,Cash,STR-006
21,2025-09-18 19:18:06,27,1,2.25,11.9,Credit Card,STR-002
22,2025-09-19 02:38:50,83,5,2.92,0,Credit Card,STR-022
23,2025-09-19 04:16:08,213,5,6.55,8.5,Mobile Pay,STR-014
24,2025-09-19 08:20:53,21,2,3.76,0,Debit Card,STR-049
25,2025-09-19 15:23:46,137,4,5.11,29.4,Gift Card,STR-042
26,2025-09-19 16:21:57,25,1,4.18,18.9,Debit Card,STR-024
27,2025-09-19 22:51:20,47,3,2.31,21.8,Mobile Pay,STR-031
28,2025-09-20 00:32:12,180,14,5.9,26.3,Mobile Pay,STR-005
29,2025-09-20 01:05:03,9,1,5.06,15.2,Mobile Pay,STR-048
30,2025-09-20 01:48:19,56,4,2.7,7.5,Credit Card,STR-032
31,2025-09-20 02:59:34,224,1,9.52,27.9,Debit Card,STR-014
32,2025-09-20 04:03:42,60,11,5.48,11.1,Credit Card,STR-031
33,2025-09-20 11:47:32,41,12,5.69,12.3,Mobile Pay,STR-034
34,2025-09-20 17:25:12,103,3,2.51,17.6,Cash,STR-047
35,2025-09-20 23:31:01,10,1,7.78,0,Cash,STR-050
36,2025-09-21 00:30:46,108,3,4.25,0,Mobile Pay,STR-046
37,2025-09-21 00:38:39,15,1,4.1,39.7,Credit Card,STR-034
38,2025-09-21 02:29:38,216,3,10.53,15.9,Credit Card,STR-048
39,2025-09-21 06:52:48,150,4,7.49,0,Mobile Pay,STR-010
40,2025-09-21 10:29:35,76,8,7.81,0,Mobile Pay,STR-016
