Transaction_ID,Product_ID,Store_ID,Transaction_Date,Category,Price_Elasticity_Coefficient,Promotion_Lift_Score,Inventory_Turnover_Ratio
66a822dd-eb2c-4756-9969-5f2c368e921f,PRD-0020,STR-026,2023-01-01,Health & Beauty,-0.677,2.53,2.07
75f6cbad-5ae7-408f-85bf-8460faf1957e,PRD-0036,STR-009,2023-01-02,Home & Garden,-2.866,2.24,2.31
3c5ab0d8-6022-4236-86ba-836036cb25bb,PRD-0086,STR-005,2023-01-01,Apparel,-3.61,2.95,12.34
78a64e6d-c1cb-45b5-9a56-b6b72e51e817,PRD-0190,STR-015,2023-01-01,Health & Beauty,-0.851,2.79,1.1
9ecb90dc-a1fe-4c58-8538-242c09078ddc,PRD-0194,STR-032,2023-01-01,Grocery,-0.242,1.01,6.12
61ccc410-b89d-4483-86ab-c8b0110838de,PRD-0078,STR-048,2023-01-01,Apparel,-2.011,2.43,12.05
7877ecbe-3cbe-4de6-95bd-91e694d345a2,PRD-0084,STR-021,2023-01-01,Automotive,-2.072,1.49,4.71
d9d30a96-67e6-428c-b3fc-fb9899e6fab0,PRD-0198,STR-038,2023-01-02,Apparel,-3.517,2.27,3.91
71ca386e-db9d-435c-9afe-8f88396ace5d,PRD-0144,STR-010,2023-01-02,Electronics,-3.71,1.22,6.83
6f97a6dd-7477-456a-a617-859501a685db,PRD-0053,STR-048,2023-01-01,Electronics,-2.32,3.27,1.82
6459fd1c-b442-4f1e-a948-cc6def6da3d7,PRD-0154,STR-021,2023-01-02,Electronics,-4.69,1.33,20.99
c21bf669-61be-4e70-829a-f11d2ddb94a9,PRD-0040,STR-031,2023-01-01,Automotive,-0.791,2.35,3.5
32469dfa-598d-45dc-998c-b761331420ec,PRD-0053,STR-024,2023-01-02,Home & Garden,-1.846,1.92,21.36
dc66b25c-06de-4f14-9705-6577eb3b539d,PRD-0135,STR-013,2023-01-02,Sports & Outdoors,-1.882,1.2,2.68
1596bdb8-861e-4736-8bf0-27156829ffd6,PRD-0161,STR-027,2023-01-02,Toys & Games,-1.017,2.41,19.93
a54b946d-20fd-440b-afc0-b195b82933ee,PRD-0068,STR-011,2023-01-01,Grocery,-0.994,2.96,4.79
bcc5aa29-4edb-4590-a0f3-597d00b9c3f8,PRD-0143,STR-021,2023-01-03,Apparel,-1.077,3.08,5.83
f8b41857-275d-4aa7-9c25-7c706ea08f39,PRD-0049,STR-005,2023-01-02,Toys & Games,-4.738,2.5,8.31
d52dbd5c-a07a-4e8e-95ad-eaa3164147e3,PRD-0120,STR-028,2023-01-02,Health & Beauty,-2.136,2.15,9.32
e7190071-90f1-4416-8e02-947d477b2c90,PRD-0039,STR-020,2023-01-02,Apparel,-3.891,2.81,12.13
501bf622-607d-4aab-a38e-963050b0caa6,PRD-0081,STR-043,2023-01-03,Health & Beauty,-3.073,2.46,10.81
43cb6044-18f2-4bb7-9e6d-ac81d453b360,PRD-0096,STR-013,2023-01-01,Apparel,-1.936,3.19,8.94
88aa4c33-2ae0-4f9b-90b7-a3c792bd6f42,PRD-0070,STR-011,2023-01-01,Grocery,-1.269,1.77,10.65
37d7bc56-0819-4d8f-9525-cb782bfcae7e,PRD-0100,STR-005,2023-01-02,Apparel,-1.29,1.55,19.19
9a73e40d-e03f-4a5d-a8e4-0381a5ccfc5a,PRD-0137,STR-016,2023-01-02,Automotive,-4.8,1.75,5.14
ee4c6c06-c6f2-4828-927f-171047a8b3a0,PRD-0008,STR-013,2023-01-03,Electronics,-4.252,1.84,1.57
5226ce27-4f31-476d-8a6d-636a7b8ce947,PRD-0029,STR-016,2023-01-04,Apparel,-1.53,2.54,23.2
2ec57a7e-6589-4872-849d-245548338e2f,PRD-0099,STR-040,2023-01-03,Electronics,-1.148,2.01,1.13
bf59ae6d-73f1-4c40-836b-3e149302008d,PRD-0146,STR-034,2023-01-03,Apparel,-0.983,1.87,11.07
dc0aa3a7-ec9d-4402-91e5-63a5beafe2cb,PRD-0101,STR-018,2023-01-03,Automotive,-1.935,2.94,21.66
c2920d97-c332-4434-a39d-977adf0bebb7,PRD-0153,STR-020,2023-01-04,Automotive,-1.989,1.5,11.96
30727357-4002-4247-b950-cc84970e9f97,PRD-0162,STR-001,2023-01-03,Electronics,-4.107,1.96,1.13
