id,observation_date,competitor_id,competitor_price,market_share_percentage,trend_score
1,2020-01-01,3,37.89,18.46,-0.1
2,2020-01-01,5,52.63,13.25,0.363
3,2020-01-01,3,41.27,14.22,-0.1
4,2020-01-01,3,40.11,17.29,0.068
5,2020-01-01,1,47.98,24.95,0.099
6,2020-01-02,5,54.8,9.1,-0.299
7,2020-01-02,3,40.27,18.37,0.093
8,2020-01-02,3,27.14,17.23,-0.549
9,2020-01-02,2,37.97,21.39,-0.098
10,2020-01-02,3,28.38,22.08,0.551
11,2020-01-02,3,44.68,18.21,0.121
12,2020-01-02,3,36.84,21.81,-0.183
13,2020-01-02,4,41.44,20.58,0.258
14,2020-01-02,2,39.84,27.37,0.228
15,2020-01-03,3,32.71,20.94,-0.167
16,2020-01-03,2,41.26,30.3,-0.103
17,2020-01-03,3,25,18.76,-0.075
18,2020-01-03,1,48.66,35.21,0.394
19,2020-01-03,1,41.83,28.79,-0.1
20,2020-01-04,5,73.11,11.96,-0.078
21,2020-01-04,1,49.64,28.86,-0.269
22,2020-01-04,4,34.03,13.04,-0.606
23,2020-01-04,4,41.43,15.28,0.174
24,2020-01-04,5,55.06,10.56,0.284
25,2020-01-04,4,37.63,13.06,0.639
26,2020-01-04,5,55.31,14.52,-0.031
27,2020-01-04,4,33.42,17.76,-0.351
28,2020-01-04,4,32.47,15,0.14
29,2020-01-05,1,50.36,30.96,0.273
30,2020-01-05,3,31.85,19.82,-0.122
31,2020-01-05,3,38.12,28.36,0.457
32,2020-01-05,1,47.69,29.05,-0.412
33,2020-01-05,1,47.16,27.56,-0.106
34,2020-01-05,1,34.24,26.19,-0.119
35,2020-01-06,3,40.95,21.53,0.177
36,2020-01-06,4,17.85,18.98,0.338
37,2020-01-06,4,40.45,16.83,-0.415
38,2020-01-06,2,37.7,24.3,-0.254
39,2020-01-06,2,50.09,25.27,0.515
40,2020-01-07,3,39.71,18.4,-0.205
41,2020-01-07,5,48.94,11.2,0.276
42,2020-01-07,3,43.07,18,-0.275
43,2020-01-07,2,52.2,24.51,-0.349
44,2020-01-08,4,31.88,15.68,0.045
45,2020-01-08,2,53,20.68,0.146
46,2020-01-08,3,41.11,22.25,-0.134
47,2020-01-08,4,32.37,18.6,0.353
48,2020-01-09,5,38.52,8.23,-0.199
49,2020-01-09,4,40.89,10.01,0.016
50,2020-01-09,5,36.31,12.55,-0.157
51,2020-01-09,1,51.98,31.13,0.564
52,2020-01-09,4,34.9,17.5,-0.266
53,2020-01-09,5,62.76,12.02,-0.156
54,2020-01-10,1,54.07,28.51,-0.289
55,2020-01-11,3,32.71,17.6,0.379
56,2020-01-11,5,48.76,15.82,-0.319
