id,observation_date,festival_name,is_holiday,season_type,promotion_event_id
1,2020-01-01,,1,Winter,
2,2020-01-01,,1,Winter,PROMO-CLEARANCE
3,2020-01-01,,1,Winter,PROMO-NEWYEAR
4,2020-01-01,,1,Winter,
5,2020-01-01,,1,Winter,
6,2020-01-03,,0,Winter,
7,2020-01-03,,0,Winter,
8,2020-01-03,,0,Winter,
9,2020-01-03,,0,Winter,
10,2020-01-03,,0,Winter,
11,2020-01-03,,0,Winter,
12,2020-01-03,,0,Winter,PROMO-CLEARANCE
13,2020-01-03,,0,Winter,
14,2020-01-03,,0,Winter,PROMO-CLEARANCE
15,2020-01-03,,0,Winter,
16,2020-01-04,,0,Winter,PROMO-CLEARANCE
17,2020-01-04,,0,Winter,
18,2020-01-05,,0,Winter,
19,2020-01-05,,0,Winter,PROMO-CLEARANCE
20,2020-01-05,,0,Winter,PROMO-CLEARANCE
21,2020-01-05,,0,Winter,
22,2020-01-05,,0,Winter,
23,2020-01-05,,0,Winter,
24,2020-01-06,,0,Winter,
25,2020-01-06,,0,Winter,
26,2020-01-06,,0,Winter,
27,2020-01-06,,0,Winter,
28,2020-01-06,,0,Winter,PROMO-CLEARANCE
29,2020-01-06,,0,Winter,
30,2020-01-07,,0,Winter,
31,2020-01-07,,0,Winter,
32,2020-01-07,,0,Winter,
33,2020-01-07,,0,Winter,
34,2020-01-07,,0,Winter,
35,2020-01-07,,0,Winter,
36,2020-01-08,,0,Winter,
37,2020-01-08,,0,Winter,
38,2020-01-08,,0,Winter,PROMO-CLEARANCE
39,2020-01-08,,0,Winter,
40,2020-01-08,,0,Winter,
41,2020-01-08,,0,Winter,
42,2020-01-08,,0,Winter,
43,2020-01-09,,0,Winter,
44,2020-01-09,,0,Winter,
45,2020-01-09,,0,Winter,
46,2020-01-09,,0,Winter,
47,2020-01-10,,0,Winter,PROMO-CLEARANCE
48,2020-01-10,,0,Winter,
49,2020-01-10,,0,Winter,
50,2020-01-10,,0,Winter,
51,2020-01-10,,0,Winter,
52,2020-01-10,,0,Winter,PROMO-CLEARANCE
53,2020-01-11,,0,Winter,
54,2020-01-11,,0,Winter,
55,2020-01-11,,0,Winter,
56,2020-01-11,,0,Winter,
57,2020-01-11,,0,Winter,
58,2020-01-12,,0,Winter,
59,2020-01-12,,0,Winter,
60,2020-01-12,,0,Winter,PROMO-CLEARANCE
61,2020-01-12,,0,Winter,
62,2020-01-13,,0,Winter,
63,2020-01-13,,0,Winter,PROMO-CLEARANCE
64,2020-01-13,,0,Winter,
65,2020-01-13,,0,Winter,PROMO-NEWYEAR
66,2020-01-13,,0,Winter,
67,2020-01-14,,0,Winter,
68,2020-01-14,,0,Winter,
69,2020-01-14,,0,Winter,
70,2020-01-14,,0,Winter,PROMO-CLEARANCE
71,2020-01-14,,0,Winter,
72,2020-01-14,,0,Winter,
73,2020-01-14,,0,Winter,
74,2020-01-14,,0,Winter,
75,2020-01-15,,1,Winter,
76,2020-01-15,,1,Winter,
77,2020-01-15,,1,Winter,PROMO-CLEARANCE
78,2020-01-15,,1,Winter,
79,2020-01-15,,1,Winter,
80,2020-01-15,,1,Winter,
81,2020-01-15,,1,Winter,PROMO-NEWYEAR
82,2020-01-15,,1,Winter,
83,2020-01-16,,0,Winter,
84,2020-01-16,,0,Winter,PROMO-CLEARANCE
85,2020-01-16,,0,Winter,PROMO-NEWYEAR
86,2020-01-16,,0,Winter,PROMO-NEWYEAR
87,2020-01-16,,0,Winter,
88,2020-01-16,,0,Winter,
89,2020-01-16,,0,Winter,PROMO-CLEARANCE
90,2020-01-17,,0,Winter,
91,2020-01-17,,0,Winter,
92,2020-01-17,,0,Winter,
93,2020-01-18,,0,Winter,
94,2020-01-18,,0,Winter,PROMO-CLEARANCE
95,2020-01-18,,0,Winter,
96,2020-01-19,,0,Winter,
97,2020-01-19,,0,Winter,
98,2020-01-19,,0,Winter,
99,2020-01-20,,0,Winter,
100,2020-01-20,,0,Winter,
101,2020-01-20,,0,Winter,PROMO-CLEARANCE
102,2020-01-20,,0,Winter,
103,2020-01-20,,0,Winter,
104,2020-01-21,,0,Winter,
105,2020-01-21,,0,Winter,
106,2020-01-21,,0,Winter,
107,2020-01-21,,0,Winter,
108,2020-01-21,,0,Winter,
109,2020-01-21,,0,Winter,
110,2020-01-21,,0,Winter,PROMO-NEWYEAR
111,2020-01-22,,0,Winter,PROMO-CLEARANCE
112,2020-01-22,,0,Winter,
113,2020-01-22,,0,Winter,
114,2020-01-23,,0,Winter,PROMO-CLEARANCE
115,2020-01-23,,0,Winter,
116,2020-01-23,,0,Winter,
117,2020-01-23,,0,Winter,PROMO-CLEARANCE
118,2020-01-23,,0,Winter,
119,2020-01-23,,0,Winter,
120,2020-01-23,,0,Winter,PROMO-CLEARANCE
121,2020-01-23,,0,Winter,
122,2020-01-23,,0,Winter,
123,2020-01-24,Chinese New Year,0,Winter,
124,2020-01-24,Chinese New Year,0,Winter,
125,2020-01-24,Chinese New Year,0,Winter,PROMO-NEWYEAR
126,2020-01-24,Chinese New Year,0,Winter,
127,2020-01-24,Chinese New Year,0,Winter,
128,2020-01-24,Chinese New Year,0,Winter,
129,2020-01-24,Chinese New Year,0,Winter,
130,2020-01-24,Chinese New Year,0,Winter,
131,2020-01-24,Chinese New Year,0,Winter,
132,2020-01-25,Chinese New Year,0,Winter,
133,2020-01-25,Chinese New Year,0,Winter,
134,2020-01-26,,0,Winter,
135,2020-01-26,,0,Winter,
136,2020-01-26,,0,Winter,
137,2020-01-26,,0,Winter,
138,2020-01-26,,0,Winter,
139,2020-01-26,,0,Winter,
140,2020-01-26,,0,Winter,PROMO-NEWYEAR
141,2020-01-26,,0,Winter,
142,2020-01-26,,0,Winter,
143,2020-01-26,,0,Winter,
144,2020-01-26,,0,Winter,
145,2020-01-27,,0,Winter,
146,2020-01-27,,0,Winter,
147,2020-01-27,,0,Winter,
148,2020-01-27,,0,Winter,
149,2020-01-27,,0,Winter,
150,2020-01-27,,0,Winter,PROMO-CLEARANCE
151,2020-01-28,,0,Winter,PROMO-NEWYEAR
152,2020-01-28,,0,Winter,
153,2020-01-28,,0,Winter,
154,2020-01-28,,0,Winter,
155,2020-01-28,,0,Winter,PROMO-CLEARANCE
156,2020-01-29,,0,Winter,
157,2020-01-29,,0,Winter,
158,2020-01-29,,0,Winter,PROMO-NEWYEAR
159,2020-01-29,,0,Winter,
160,2020-01-29,,0,Winter,PROMO-CLEARANCE
161,2020-01-30,,0,Winter,PROMO-CLEARANCE
162,2020-01-30,,0,Winter,
163,2020-01-30,,0,Winter,
164,2020-01-30,,0,Winter,
165,2020-01-30,,0,Winter,
166,2020-01-30,,0,Winter,
167,2020-01-30,,0,Winter,
168,2020-01-30,,0,Winter,PROMO-NEWYEAR
169,2020-01-30,,0,Winter,
170,2020-01-31,,0,Winter,
171,2020-01-31,,0,Winter,
172,2020-01-31,,0,Winter,
173,2020-02-01,,0,Winter,
174,2020-02-02,,0,Winter,
175,2020-02-02,,0,Winter,
176,2020-02-02,,0,Winter,
177,2020-02-02,,0,Winter,PROMO-NEWYEAR
178,2020-02-02,,0,Winter,PROMO-NEWYEAR
179,2020-02-02,,0,Winter,
180,2020-02-02,,0,Winter,
181,2020-02-03,,0,Winter,
182,2020-02-03,,0,Winter,
183,2020-02-03,,0,Winter,
184,2020-02-03,,0,Winter,
185,2020-02-03,,0,Winter,
