id,observation_date,temperature,precipitation_level,humidity,weather_condition_code
1,2020-01-01,1.2,0,58.1,Snowy
2,2020-01-01,-8.7,4.9,64.2,Sunny
3,2020-01-01,0.5,7.4,61.7,Cloudy
4,2020-01-02,4.9,2.5,62.5,Cloudy
5,2020-01-02,0.4,3,68.5,Windy
6,2020-01-02,-6.6,6.5,73.2,Foggy
7,2020-01-02,-2.4,0.3,75.9,Cloudy
8,2020-01-02,3,4.6,77.6,Snowy
9,2020-01-03,1.4,3.5,84.2,Foggy
10,2020-01-03,3.2,0.1,84.7,Foggy
11,2020-01-03,1.8,0,70.4,Cloudy
12,2020-01-03,-1.2,1.7,67,Cloudy
13,2020-01-03,1.4,6.6,64.8,Rainy
14,2020-01-03,2.2,5.9,76.7,Cloudy
15,2020-01-04,2.6,0.1,70.7,Snowy
16,2020-01-04,-3.6,9.9,67.8,Windy
17,2020-01-04,1.7,7.3,77.6,Rainy
18,2020-01-05,0,5.8,93.9,Cloudy
19,2020-01-05,14.7,0.5,77.3,Rainy
20,2020-01-05,2.6,4.9,66.7,Snowy
21,2020-01-05,7.3,2.3,67.8,Stormy
22,2020-01-05,10,9.2,76.8,Sunny
23,2020-01-05,4,4,76.5,Foggy
24,2020-01-06,5,1.3,79.8,Rainy
25,2020-01-06,-3.4,8.6,88,Rainy
26,2020-01-06,3.8,0,51.6,Foggy
27,2020-01-06,1,6.9,74.9,Cloudy
28,2020-01-06,8.2,7.2,78.3,Sunny
29,2020-01-06,5.7,1.7,68.4,Rainy
30,2020-01-07,11,1.1,64.5,Stormy
31,2020-01-07,-1.2,1,61,Rainy
32,2020-01-07,8.4,5.7,76.4,Snowy
33,2020-01-08,-3,2.2,90,Cloudy
34,2020-01-08,-0.5,0.4,67.7,Cloudy
35,2020-01-08,-6.6,0.2,78.4,Windy
36,2020-01-08,-2.4,1.7,74.5,Windy
37,2020-01-08,-3.5,7.4,82.3,Windy
38,2020-01-09,0.6,5.2,80.6,Rainy
39,2020-01-09,0.9,8.6,73.6,Cloudy
40,2020-01-09,11.1,0.2,70,Rainy
41,2020-01-09,4.6,0,79.1,Windy
42,2020-01-09,-1.8,6,99.1,Snowy
43,2020-01-09,4.8,4.6,73.9,Rainy
44,2020-01-09,3.1,7.3,83.9,Stormy
45,2020-01-09,6.3,3.3,73,Foggy
46,2020-01-09,0.5,0.3,95.4,Snowy
47,2020-01-10,2.5,2.1,86,Sunny
48,2020-01-10,-3.7,3.5,100,Snowy
49,2020-01-10,-5.4,6.9,82.5,Snowy
50,2020-01-10,6.6,3.7,60.9,Foggy
51,2020-01-10,-6.4,4.5,61.5,Sunny
52,2020-01-10,-0.3,3.7,90.4,Windy
53,2020-01-10,-8.1,3.9,78,Cloudy
54,2020-01-10,2,5.1,75.5,Foggy
55,2020-01-10,2,5.4,71,Sunny
56,2020-01-11,-7.3,5.8,76.9,Foggy
57,2020-01-11,-8.4,7.8,80.4,Cloudy
58,2020-01-11,-1.4,3.4,74.8,Foggy
59,2020-01-11,1.6,4.7,70.5,Rainy
60,2020-01-11,10.8,3.3,70.4,Windy
61,2020-01-11,-8.9,3.3,71.6,Foggy
62,2020-01-12,-2.7,2.3,79.2,Foggy
63,2020-01-12,1.4,6.1,98.9,Rainy
64,2020-01-12,-7.8,7.2,70.6,Sunny
65,2020-01-13,25.1,2.7,80.2,Rainy
66,2020-01-13,14.8,8.6,77.7,Sunny
67,2020-01-13,4.9,5.1,72,Snowy
68,2020-01-13,0,4.5,81.1,Cloudy
69,2020-01-13,2.6,3.9,81,Snowy
70,2020-01-14,0.3,4.8,67.5,Cloudy
71,2020-01-14,-5.9,4.5,86,Foggy
72,2020-01-14,-4.3,5.5,72.9,Rainy
73,2020-01-15,8.5,3.9,79.9,Cloudy
74,2020-01-15,-1.2,6.7,67.7,Cloudy
75,2020-01-15,-4,2.7,73.8,Rainy
76,2020-01-15,-1.7,3.6,72,Foggy
