batch_id,batch_number,product_id,supplier_id,warehouse_id,quantity,procurement_cost,unit_cost,received_date,expiry_date,quality_grade,created_at
1,BT-000001,126,6,12,337.7,1425.09,4.22,2025-12-16,2025-12-30,A,2025-12-16T13:22:00.626Z
2,BT-000002,126,6,8,160.9,617.86,3.84,2025-03-22,2025-04-05,A,2025-03-22T13:22:00.626Z
3,BT-000003,126,6,10,312.7,1278.94,4.09,2026-02-10,2026-02-24,B,2026-02-10T13:22:00.626Z
4,BT-000004,126,6,13,253.4,1211.25,4.78,2025-02-02,2025-02-16,B,2025-02-02T13:22:00.626Z
5,BT-000005,126,6,12,217.6,1192.45,5.48,2024-10-02,2024-10-16,C,2024-10-02T13:22:00.626Z
6,BT-000006,126,6,2,209.3,943.94,4.51,2024-05-13,2024-05-27,B,2024-05-13T13:22:00.626Z
7,BT-000007,126,6,14,87.6,478.3,5.46,2025-01-14,2025-01-28,B,2025-01-14T13:22:00.626Z
8,BT-000008,126,6,8,96.8,410.43,4.24,2024-04-27,2024-05-11,B,2024-04-27T13:22:00.626Z
9,BT-000009,126,6,1,302.8,1722.93,5.69,2025-08-27,2025-09-10,C,2025-08-27T13:22:00.626Z
10,BT-000010,126,6,3,50.2,279.61,5.57,2025-07-19,2025-08-02,A,2025-07-19T13:22:00.626Z
11,BT-000011,126,6,2,361.6,1840.54,5.09,2025-04-03,2025-04-17,B,2025-04-03T13:22:00.626Z
12,BT-000012,126,6,12,394.3,2231.74,5.66,2025-07-08,2025-07-22,A,2025-07-08T13:22:00.626Z
13,BT-000013,126,6,14,450.3,1855.24,4.12,2025-03-14,2025-03-28,C,2025-03-14T13:22:00.626Z
14,BT-000014,126,6,11,332.4,1326.28,3.99,2025-11-03,2025-11-17,A,2025-11-03T13:22:00.626Z
15,BT-000015,54,13,2,246.8,767.55,3.11,2025-01-19,2025-02-09,A,2025-01-19T13:22:00.626Z
16,BT-000016,54,13,3,409.9,1545.32,3.77,2025-02-13,2025-03-06,A,2025-02-13T13:22:00.626Z
